filename,path,md5sum
T20MRD_20191122T142731_B08.jp2,S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/GRANULE\L1C_T20MRD_A023073_20191122T142731\IMG_DATA\T20MRD_20191122T142731_B08.jp2,148bcd460af220ca67716fa949336599
T20MRD_20191122T142731_B09.jp2,S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/GRANULE\L1C_T20MRD_A023073_20191122T142731\IMG_DATA\T20MRD_20191122T142731_B09.jp2,5c71208fcaed69d80038c1e9bd9867a6
T20MRD_20191122T142731_B10.jp2,S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/GRANULE\L1C_T20MRD_A023073_20191122T142731\IMG_DATA\T20MRD_20191122T142731_B10.jp2,a75d4c36e917ebaa949c532c9f772c5e
T20MRD_20191122T142731_B11.jp2,S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/GRANULE\L1C_T20MRD_A023073_20191122T142731\IMG_DATA\T20MRD_20191122T142731_B11.jp2,31369692e855ab0f12ee378ca56e5912
T20MRD_20191122T142731_B12.jp2,S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/GRANULE\L1C_T20MRD_A023073_20191122T142731\IMG_DATA\T20MRD_20191122T142731_B12.jp2,40bc20f0fe1d62663992200690263659
T20MRD_20191122T142731_B8A.jp2,S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/GRANULE\L1C_T20MRD_A023073_20191122T142731\IMG_DATA\T20MRD_20191122T142731_B8A.jp2,b4c2079c65e551e0a28a6b7ef3d45613
T20MRD_20191122T142731_TCI.jp2,S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/GRANULE\L1C_T20MRD_A023073_20191122T142731\IMG_DATA\T20MRD_20191122T142731_TCI.jp2,c0efcd748d949fc9008d26effe7f77c9
FORMAT_CORRECTNESS.xml,S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/GRANULE\L1C_T20MRD_A023073_20191122T142731\QI_DATA\FORMAT_CORRECTNESS.xml,a8d7380ee9879efa1260bd9118bc7167
GENERAL_QUALITY.xml,S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/GRANULE\L1C_T20MRD_A023073_20191122T142731\QI_DATA\GENERAL_QUALITY.xml,ae1d21739ca04aa44749e8be3e290c25
GEOMETRIC_QUALITY.xml,S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/GRANULE\L1C_T20MRD_A023073_20191122T142731\QI_DATA\GEOMETRIC_QUALITY.xml,8d4867d89d6de9ae50d87aabeba3fb16
MSK_CLOUDS_B00.gml,S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/GRANULE\L1C_T20MRD_A023073_20191122T142731\QI_DATA\MSK_CLOUDS_B00.gml,bc98f791f8ff84c10454f41b45595434
MSK_DEFECT_B01.gml,S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/GRANULE\L1C_T20MRD_A023073_20191122T142731\QI_DATA\MSK_DEFECT_B01.gml,4ddb28528bca87909078aea6cd25b7be
MSK_DEFECT_B02.gml,S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/GRANULE\L1C_T20MRD_A023073_20191122T142731\QI_DATA\MSK_DEFECT_B02.gml,6c9127ea2f9ac17a9f3ec2d0063c8385
MSK_DEFECT_B03.gml,S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/GRANULE\L1C_T20MRD_A023073_20191122T142731\QI_DATA\MSK_DEFECT_B03.gml,25181f6d2e8f4169e76a116f0af257fb
MSK_DEFECT_B04.gml,S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/GRANULE\L1C_T20MRD_A023073_20191122T142731\QI_DATA\MSK_DEFECT_B04.gml,7275a52f745d355e440df907d4b142b7
MSK_DEFECT_B05.gml,S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/GRANULE\L1C_T20MRD_A023073_20191122T142731\QI_DATA\MSK_DEFECT_B05.gml,ae56ff84d51d4d9f3803209f983b10b4
MSK_DEFECT_B06.gml,S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/GRANULE\L1C_T20MRD_A023073_20191122T142731\QI_DATA\MSK_DEFECT_B06.gml,1cd8da75b2ae32b484561191ec531550
